Identificador do Contrato,UASG,Modalidade da Licitação,Número do Aviso da Licitação,Código do Contrato,Licitação associada,Origem da Licitação,Número,Objeto,Número de Aditivos,Número do Processo,CPF Contratada,CNPJ Contratada,Data de Assinatura,Fundamento Legal,Data de Início da Vigência,Data de Termino da Vigência,Valor inicial,Aditivos do Contrato > uri,Apostilamentos do Contrato > uri,Eventos do Contrato > uri
19312250000010017,193122: IBAMA - SUPERINTENDENCIA ESTADUAL/RR,"5: PREGÃO                                            ",000010/2016,"50: CONTRATO                                          ",Licitação 19312205000102016,SISRP,00001/0017,Registro de Preos para aquisio parce lado de combustvel para atendimento s demandas de manejo de fauna silvrestre e combate a Incndios Florestais.,,02025000574201609,,Fornecedor 00.376.437/0001-24: AUTO POSTO ABEL GALINHA LIMITADA -,03/02/2017,Lei 8.666/93 e demais dispositivos que regem a matria.,03/02/2017,02/02/2018,"R$ 15,491.64",/contratos/id/contrato/19312250000010017/aditivos,/contratos/id/contrato/19312250000010017/apostilamentos,/contratos/id/contrato/19312250000010017/eventos
38093150000011014,380931: DELEG.REG. DO TRAB/ALAGOAS,"5: PREGÃO                                            ",000023/2013,"50: CONTRATO                                          ",Licitação 38093105000232013,SISPP,00001/1014,Prestao de Servios de Vigilncia Des armada para atender a sede da SRTE/AL e suas un idades Descentralizadas.,3,46201006411201376,,Fornecedor 11.179.264/0007-66: PRESERVE SEGURANCA E TRANSPORTE DEVALORES LTDA,10/03/2014,"Lei 8.666/93, Dec 2.271/97 e IN SLTI n 02/08.",18/03/2014,17/03/2015,"R$ 481,514.00",/contratos/id/contrato/38093150000011014/aditivos,/contratos/id/contrato/38093150000011014/apostilamentos,/contratos/id/contrato/38093150000011014/eventos
15303254000011978,153032: UNIVERSIDADE FEDERAL DE LAVRAS/MEC/MG,"3: CONCORRÊNCIA                                      ",00001/1978,"54: CONCESSÃO                                         ",Licitação 15303203000011978,SISPP,00001/1978,Concesso de prdio no Campus da UFLA,3,0001/78,,Fornecedor 20.372.967/0001-01: SAULO FIDELIS COSTA PEREIRA ME,30/06/1978,Lei 8.666 Modalidade Concorrncia,30/06/1978,31/12/1979,"R$ 111,132.00",/contratos/id/contrato/15303254000011978/aditivos,/contratos/id/contrato/15303254000011978/apostilamentos,/contratos/id/contrato/15303254000011978/eventos
11460650000011985,114606: UNIDADE ESTADUAL DO IBGE NO PARA,"6: DISPENSA DE LICITAÇÃO                             ",00001/1999,"50: CONTRATO                                          ",Licitação 11460606000011999,SISPP,00001/1985,Contratao de imveis para instalao da Agncia do  IBGE   no municpio de Conceio do Araguaia/PA.,1,PA/036156419/85,***.953.752-**,,01/10/1997,"De acordo com artigo 24, Inciso X, da Lei 8.666/93____C/CR.PR. 06/96, ARTIGO 3.",01/10/1997,30/09/1999,"R$ 8,400.00",/contratos/id/contrato/11460650000011985/aditivos,/contratos/id/contrato/11460650000011985/apostilamentos,/contratos/id/contrato/11460650000011985/eventos
15404753000011985,154047: UNIVERSIDADE FEDERAL DE PELOTAS/RS,"6: DISPENSA DE LICITAÇÃO                             ",00001/1985,"53: ARRENDAMENTO                                      ",Licitação 15404706000011985,SISPP,00001/1985,locacao de imovel situado a rua andrade neves 1290 destinado a casa de estudante,,231100003469320,***.291.330-**,,01/06/1985,art 24 inciso 10 lei 8666-93,01/11/1998,01/11/1999,"R$ 102,000.00",/contratos/id/contrato/15404753000011985/aditivos,/contratos/id/contrato/15404753000011985/apostilamentos,/contratos/id/contrato/15404753000011985/eventos
15404753000011986,154047: UNIVERSIDADE FEDERAL DE PELOTAS/RS,"6: DISPENSA DE LICITAÇÃO                             ",00001/1986,"53: ARRENDAMENTO                                      ",Licitação 15404706000011986,SISPP,00001/1986,"locacao de imovel situado a rua quinze de novembro 209 localizada n esta cidade, destinado a faculdade de arquitetura e urbanismo",,00000000000097398,***.135.910-**,,28/11/1986,art 24 inciso 10 da lei 8666-93,01/11/1998,01/11/1999,"R$ 50,156.40",/contratos/id/contrato/15404753000011986/aditivos,/contratos/id/contrato/15404753000011986/apostilamentos,/contratos/id/contrato/15404753000011986/eventos
38004450000011987,380044: DELEG.REG. DO TRAB/PARANA,"6: DISPENSA DE LICITAÇÃO                             ",00001/1987,"50: CONTRATO                                          ",Licitação 38004406000011987,SISPP,00001/1987,Contrato de locao do imovel da Av. Dr. Vicente Machado n. 362 Curitiba/PR.,,3518300161091,,Fornecedor 75.136.127/0001-31: CONCORDE  ADMINISTRACAO DE BENSLTDA,01/01/1987,"Art. 24, Inciso X, da lei 8666/93.",01/01/1987,28/03/2001,"R$ 118,380.72",/contratos/id/contrato/38004450000011987/aditivos,/contratos/id/contrato/38004450000011987/apostilamentos,/contratos/id/contrato/38004450000011987/eventos
17011650000011988,170116: SUP.REGIONAL RECEITA FEDERAL 7A.RF/RJ,"7: INEXIGIBILIDADE DE LICITAÇÃO                      ",00001/1988,"50: CONTRATO                                          ",Licitação 17011607000011988,SISPP,00001/1988,"Contrato n 01/88 tem por objeto a locao dos imveis ns 26, 38 e 44 da Praa Oliveira Figueiredo, Barra do Pira, Estado do Rio de Janeiro.",1,10720000257/86-05,***948647**: Diva Reis Carvalho e Outras,,01/06/1988,Decretos-Leis ns 2.300/86 e 2.348/87 e Lei n 6.649/79.,01/06/1988,31/05/1991,"R$ 7,220,448.00",/contratos/id/contrato/17011650000011988/aditivos,/contratos/id/contrato/17011650000011988/apostilamentos,/contratos/id/contrato/17011650000011988/eventos
51208450000011990,512084: UNID.ADMINIST.LOCAL INSS EM MAGE/RJ,"6: DISPENSA DE LICITAÇÃO                             ",00001/1990,"50: CONTRATO                                          ",Licitação 51208406000011990,SISPP,00001/1990,"LOCAAO DE PREDIO ONDE FUNCIONA O ARQUIVO GERAL, SITO NA RUA DR SI QUEIRA,403 CENTRO MAGE-RJ, DE PROPRIEDADE DE ELI TEIXEIRA GABRIEL E OU TROS.",,35314/7146/89,***.813.397-**,,03/09/1990,ARTIGO 24/10 LEI 8666/93,03/09/1998,02/09/1999,"R$ 15,065.76",/contratos/id/contrato/51208450000011990/aditivos,/contratos/id/contrato/51208450000011990/apostilamentos,/contratos/id/contrato/51208450000011990/eventos
17011950000011990,170119: MF-DELEGACIA DA REC FED.EM VOLTA REDONDA/RJ,"6: DISPENSA DE LICITAÇÃO                             ",00001/1988,"50: CONTRATO                                          ",Licitação 17011906000011988,SISPP,00001/1990,"Locao dos imveis de nos. 26, 38 e 44 da Praa Oliveira Figueiredo para abrigar a Agncia da Receita Federal em Barra do Pirai",2,107200002578605,***948647**: DIVA REIS CARVALHO,,01/06/1988,Decretos-Leis nos. 2300/86 e 2348/87 e Lei 6649/79,01/06/1988,31/05/1991,"R$ 7,220,448.00",/contratos/id/contrato/17011950000011990/aditivos,/contratos/id/contrato/17011950000011990/apostilamentos,/contratos/id/contrato/17011950000011990/eventos
