Gestora;Data;Talão;Classificação;Descrição;Valor
SEFIN;02/01/2017;02.01.0001;1113.05.01.01.00;IMPOSTO SOBRE SERVIÇO – SIMPLES NACIONAL;10.389,56
SEFIN;02/01/2017;02.01.0002;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;1.663,77
SEFIN;02/01/2017;02.01.0003;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;5.458,80
SEFIN;02/01/2017;02.01.0004;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;412,12
SEFIN;02/01/2017;02.01.0005;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;20,08
SEFIN;02/01/2017;02.01.0006;1112.04.31.00.00;Imposto de Renda Retido nas Fontes sobre os Rendimentos do Trabalho;37,50
SEFIN;02/01/2017;02.01.0007;1112.08.00.00.00;Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis;1.385,74
SEFIN;02/01/2017;02.01.0008;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;41.244,27
SEFIN;02/01/2017;02.01.0009;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;920,63
SEFIN;02/01/2017;02.01.0010;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;8.911,03
SEFIN;02/01/2017;02.01.0011;1121.17.00.00.00;Taxa de Fiscalização de Vigilância Sanitária;267,73
SEFIN;02/01/2017;02.01.0012;1121.29.00.00.00;Taxa de Licença para Execução de Obras;62,06
SEFIN;02/01/2017;02.01.0013;1122.99.00.00.00;Outras Taxas pela Prestação de Serviços;26,77
SEFIN;02/01/2017;02.01.0014;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;101,42
SEFIN;02/01/2017;02.01.0015;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;3.187,41
SEFIN;02/01/2017;02.01.0016;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;105,04
SEFIN;02/01/2017;02.01.0017;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;585,00
SEFIN;02/01/2017;02.01.0018;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;9.880,20
SEFIN;02/01/2017;02.01.0019;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;3.346,65
SEFIN;02/01/2017;02.01.0020;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;30,00
SEFIN;02/01/2017;02.01.0021;1121.29.00.00.00;Taxa de Licença para Execução de Obras;894,66
SEFIN;02/01/2017;02.01.0022;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;1.552,48
SEFIN;02/01/2017;02.01.0023;1112.08.00.00.00;Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis;3.200,00
SEFIN;02/01/2017;02.01.0024;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;57,41
SEFIN;02/01/2017;02.01.0025;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;4.217,61
SEFIN;02/01/2017;02.01.0026;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;570,10
SEFIN;02/01/2017;02.01.0027;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;22,50
DES. SOCIA;02/01/2017;02.01.0028;1721.34.99.00.00;Outras Transferências do FNAS;61.816,27
SEFIN;02/01/2017;02.01.0029;1931.13.00.00.00;Receita da Dívida Ativa do Imposto sobre Serviços de Qualquer Natureza – ISS;95,75
SEFIN;02/01/2017;02.01.0030;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;4.610,65
DES. SOCIA;02/01/2017;02.01.0031;1721.34.99.00.00;Outras Transferências do FNAS;8.300,00
SEINFRA;02/01/2017;02.01.0032;1325.02.99.06.00;REMUNERAÇÃO DE DEPÓSITOS DE RECURSOS NÃO VINCULADOS;582,63
IMAC;02/01/2017;02.01.0033;1121.99.01.00.00;Taxa de Licenciamento Ambiental;3.195,31
SEFIN;03/01/2017;03.01.0001;1722.01.01.00.00;Cota-Parte do ICMS;1.628.997,20
SESA;03/01/2017;03.01.0002;1721.33.14.23.00;OUTROS PROGRAMAS FINANC. POR TRANSF. FUNDO A FUNDO;153.164,70
SESA;03/01/2017;03.01.0003;1721.33.14.23.00;OUTROS PROGRAMAS FINANC. POR TRANSF. FUNDO A FUNDO;153.164,70
SESA;03/01/2017;03.01.0004;1721.33.14.23.00;OUTROS PROGRAMAS FINANC. POR TRANSF. FUNDO A FUNDO;8.061,30
SESA;03/01/2017;03.01.0005;1721.33.14.23.00;OUTROS PROGRAMAS FINANC. POR TRANSF. FUNDO A FUNDO;8.061,30
SESA;03/01/2017;03.01.0006;1721.33.13.15.00;PISO FIXO DE VIGILNCIA E PROMOÇÃO DE SAÚDE - PFVPS;96.572,57
SEDUC;03/01/2017;03.01.0007;1724.01.00.00.00;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionai;939.975,06
SEDUC;03/01/2017;03.01.0008;1724.01.00.00.00;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionai;325.799,44
SEFIN;03/01/2017;03.01.0009;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;260,14
SEFIN;03/01/2017;03.01.0010;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;51,38
SEFIN;03/01/2017;03.01.0011;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;1.265,08
SEFIN;03/01/2017;03.01.0012;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;2.932,22
SEFIN;03/01/2017;03.01.0013;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;563,09
SEFIN;03/01/2017;03.01.0014;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;1.309,20
SEFIN;03/01/2017;03.01.0015;1112.08.00.00.00;Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis;3.410,00
SEFIN;03/01/2017;03.01.0016;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;15.823,62
AMT;03/01/2017;03.01.0017;1919.15.00.00.00;Multas Previstas na Legislação de Trânsito;56,79
SEFIN;03/01/2017;03.01.0018;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;2.825,29
SEFIN;03/01/2017;03.01.0019;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;892,44
SEFIN;03/01/2017;03.01.0020;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;252,71
SEFIN;03/01/2017;03.01.0021;1121.29.00.00.00;Taxa de Licença para Execução de Obras;1.884,12
SEFIN;03/01/2017;03.01.0022;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;2.798,92
SEFIN;03/01/2017;03.01.0023;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;1.830,49
SEFIN;03/01/2017;03.01.0024;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;1.200,99
SEFIN;03/01/2017;03.01.0025;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;5.773,56
SEFIN;03/01/2017;03.01.0026;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;30,00
SEFIN;03/01/2017;03.01.0027;1121.29.00.00.00;Taxa de Licença para Execução de Obras;7.356,88
SEFIN;03/01/2017;03.01.0028;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;3.336,85
SEFIN;03/01/2017;03.01.0029;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;1.089,21
SEFIN;03/01/2017;03.01.0030;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;1.010,74
SEFIN;03/01/2017;03.01.0031;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;18,00
SEFIN;03/01/2017;03.01.0032;1122.99.00.00.00;Outras Taxas pela Prestação de Serviços;128,59
SEFIN;04/01/2017;04.01.0001;1113.05.01.01.00;IMPOSTO SOBRE SERVIÇO – SIMPLES NACIONAL;14.056,88
SESA;04/01/2017;04.01.0002;1721.33.14.23.00;OUTROS PROGRAMAS FINANC. POR TRANSF. FUNDO A FUNDO;2.058,93
SESA;04/01/2017;04.01.0003;1721.33.14.23.00;OUTROS PROGRAMAS FINANC. POR TRANSF. FUNDO A FUNDO;2.058,93
SESA;04/01/2017;04.01.0004;1721.33.14.23.00;OUTROS PROGRAMAS FINANC. POR TRANSF. FUNDO A FUNDO;2.058,93
AMT;04/01/2017;04.01.0005;1919.15.00.00.00;Multas Previstas na Legislação de Trânsito;333,35
AMT;04/01/2017;04.01.0006;1919.15.00.00.00;Multas Previstas na Legislação de Trânsito;97,05
SEFIN;04/01/2017;04.01.0007;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;749,07
SEFIN;04/01/2017;04.01.0008;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;656,42
SEFIN;04/01/2017;04.01.0009;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;3,30
SEFIN;04/01/2017;04.01.0010;1121.29.00.00.00;Taxa de Licença para Execução de Obras;87.161,63
SEFIN;04/01/2017;04.01.0011;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;10,00
SEFIN;04/01/2017;04.01.0012;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;1.146,74
SEFIN;04/01/2017;04.01.0013;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;3.135,31
SEFIN;04/01/2017;04.01.0014;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;215,10
SEFIN;04/01/2017;04.01.0015;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;2.098,75
SEFIN;04/01/2017;04.01.0016;1112.08.00.00.00;Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis;9.454,50
SEFIN;04/01/2017;04.01.0017;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;112,83
SEFIN;04/01/2017;04.01.0018;1121.17.00.00.00;Taxa de Fiscalização de Vigilância Sanitária;327,23
SEFIN;04/01/2017;04.01.0019;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;74,37
SEFIN;04/01/2017;04.01.0020;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;110,00
SEFIN;04/01/2017;04.01.0021;1121.29.00.00.00;Taxa de Licença para Execução de Obras;160,43
SEFIN;04/01/2017;04.01.0022;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;5.279,41
SEFIN;04/01/2017;04.01.0023;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;182,29
SEFIN;04/01/2017;04.01.0024;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;818,55
SEFIN;04/01/2017;04.01.0025;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;146,13
SEFIN;04/01/2017;04.01.0026;1112.08.00.00.00;Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis;7.394,02
SEFIN;04/01/2017;04.01.0027;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;260,07
SEFIN;04/01/2017;04.01.0028;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;153,00
SEFIN;04/01/2017;04.01.0029;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;440,12
SEFIN;04/01/2017;04.01.0030;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;3.734,22
SEFIN;04/01/2017;04.01.0031;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;10,00
SEFIN;04/01/2017;04.01.0032;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;166,79
SEFIN;04/01/2017;04.01.0033;1919.48.00.00.00;Multas Aplicadas pelos Tribunais de Contas;634,34
SEFIN;04/01/2017;04.01.0034;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;1.573,43
SEFIN;04/01/2017;04.01.0035;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;88,21
SEFIN;04/01/2017;04.01.0036;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;61,23
SEFIN;04/01/2017;04.01.0037;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;55,66
SEFIN;04/01/2017;04.01.0038;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;55,19
SEFIN;04/01/2017;04.01.0039;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;48,88
SEFIN;04/01/2017;04.01.0040;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;59,35
SEFIN;04/01/2017;04.01.0041;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;51,35
SEFIN;04/01/2017;04.01.0042;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;62,50
SEFIN;04/01/2017;04.01.0043;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;60,14
SEFIN;04/01/2017;04.01.0044;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;57,74
SEFIN;04/01/2017;04.01.0045;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;49,02
SEFIN;04/01/2017;04.01.0046;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;49,02
SEFIN;04/01/2017;04.01.0047;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;128,93
SEFIN;04/01/2017;04.01.0048;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;135,48
SEFIN;04/01/2017;04.01.0049;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;140,60
SEFIN;05/01/2017;05.01.0001;1113.05.01.01.00;IMPOSTO SOBRE SERVIÇO – SIMPLES NACIONAL;641,36
SEDUC;05/01/2017;05.01.0002;1724.01.00.00.00;Transferências de Recursos do Fundo de Manutenção e Desenvolvimento da Educação Básica e de Valorização dos Profissionai;9.183,09
AMT;05/01/2017;05.01.0003;1919.15.00.00.00;Multas Previstas na Legislação de Trânsito;517,59
SEFIN;05/01/2017;05.01.0004;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;1.250,26
SEFIN;05/01/2017;05.01.0005;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;1.111,50
SEFIN;05/01/2017;05.01.0006;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;172,20
SEFIN;05/01/2017;05.01.0007;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;1.304,45
SEFIN;05/01/2017;05.01.0008;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;4.952,71
SEFIN;05/01/2017;05.01.0009;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;1.653,96
SEFIN;05/01/2017;05.01.0010;1112.08.00.00.00;Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis;90,64
SEFIN;05/01/2017;05.01.0011;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;7,90
SEFIN;05/01/2017;05.01.0012;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;274,54
SEFIN;05/01/2017;05.01.0013;1121.17.00.00.00;Taxa de Fiscalização de Vigilância Sanitária;193,36
SEFIN;05/01/2017;05.01.0014;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;315,00
SEFIN;05/01/2017;05.01.0015;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;5.318,10
SEFIN;05/01/2017;05.01.0016;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;1.737,41
SEFIN;05/01/2017;05.01.0017;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;3.051,19
SEFIN;05/01/2017;05.01.0018;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;60,00
SEFIN;05/01/2017;05.01.0019;1931.11.00.00.00;Receita da Dívida Ativa do Imposto sobre a Propriedade Predial e Territorial Urbana – IPTU;1.766,44
SEFIN;05/01/2017;05.01.0020;1112.08.00.00.00;Imposto sobre Transmissão “Inter Vivos” de Bens Imóveis e de Direitos Reais sobre Imóveis;3.192,00
SEFIN;05/01/2017;05.01.0021;1121.25.00.00.00;Taxa de Licença para Funcionamento de Estabelecimentos Comerciais, Indústrias e Prestadoras de Serviços;45,00
SEFIN;05/01/2017;05.01.0022;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;1.229,58
SEFIN;05/01/2017;05.01.0023;1113.05.01.00.00;Imposto sobre Serviços de Qualquer Natureza;69,76
SEFIN;05/01/2017;05.01.0024;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;60,14
SEFIN;05/01/2017;05.01.0025;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;67,23
SEFIN;05/01/2017;05.01.0026;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;60,14
SEFIN;05/01/2017;05.01.0027;1112.02.00.00.00;Imposto sobre a Propriedade Predial e Territorial Urbana;60,14
